,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1996,3,0.24,0.43,0.88,-1.09,-0.47,0.56,-0.02,0.66,0.5,0.43,-0.11,0.54,0.91
1996,4,-0.64,1.64,2.19,1.5,0.38,1.33,1.13,0.16,0.9,1.06,0.64,1.47,1.84
1997,1,0,0.7,0.35,2.29,-0.77,1.3,-0.2,0.66,-0.41,1.23,0.48,1.09,1.38
1997,2,-0.79,0.37,-0.64,1,-0.04,-0.92,-0.3,2.52,1.06,1.01,-0.75,0.24,0.37
1997,3,-0.84,1.13,-0.3,1.52,-1.4,-0.01,0.51,1.91,0,0.75,1.26,0.6,1.43
1997,4,-0.4,0.67,-0.57,0.86,-1.33,-0.26,1.66,-0.05,0.68,0.12,0.33,0.05,0.25
1998,1,-1.66,-0.06,1.4,-0.36,0.95,0.11,-0.31,-0.63,1.89,2.03,0.88,1.88,1.81
1998,2,0.8,0.62,0.63,1.32,0.89,2.07,-0.91,-0.59,0.6,-1.03,1.27,1.18,1.27
1998,3,0.73,0.36,1.12,-0.29,-0.47,0.03,0.88,-0.72,-0.3,-0.54,0.72,0.73,1.09
1998,4,-0.67,-0.93,-1.3,0.58,1.14,-1,-0.38,-0.75,0.18,2.72,0.58,1.38,1.04
1999,1,-0.9,0.7,-0.53,1.3,-0.18,0.34,0.2,0.79,0.36,0.61,-0.46,0.19,0.54
1999,2,-0.64,0.95,-0.81,-0.24,0,0.64,0.88,0.28,-1.29,1.09,0.48,-0.27,0.08
1999,3,0.26,0.61,-1.04,-0.68,0.42,1.41,0.01,0.25,-0.18,0.51,1.92,0.52,1.01
1999,4,0.08,1.63,1.99,-0.24,3.02,1.91,-0.38,0.34,0.28,-1.55,-1.93,-1.27,-0.71
2000,1,2.22,-0.88,-0.5,-0.04,0.08,-0.92,-0.87,-0.75,-1.23,-0.33,-0.57,-0.65,-0.95
2000,2,-0.37,0.53,1.24,-0.1,-0.19,1.06,-0.04,0.22,-0.66,-0.31,0.3,-0.37,-0.14
2000,3,-0.15,1.32,0.2,-1.31,-0.63,1.76,0.45,0.8,-0.93,-1.81,-0.47,-1.25,-0.57
2000,4,0.61,-0.6,-1.26,-0.46,-1.53,-0.58,0.71,-0.55,-0.79,0.51,0.97,-0.03,-0.19
